Date,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_BID,PX_ASK,PX_MID,PX_VOLUME,PX_TO_BOOK_RATIO,PE_RATIO,IS_EPS,CASH_RATIO,CUR_RATIO,QUICK_RATIO,AVERAGE_DIVIDEND_YIELD,PROF_MARGIN,OPER_MARGIN
02/04/2019,191.09,194.02,191.05,194.46,194.04,194.05,194.045,22765732,8.4442,16.3376,2.47,0.8541,1.3154,1.015,1.505,19.9276,23.1233
01/04/2019,191.64,191.24,188.38,191.68,191.23,191.24,191.235,27861964,8.3232,16.1035,2.47,0.8541,1.3154,1.015,1.5269,19.9276,23.1233
29/03/2019,189.83,189.95,188.54,190.08,189.94,189.97,189.955,23563961,8.2671,15.9949,2.47,0.8541,1.3154,1.015,1.5372,19.9276,23.1233
28/03/2019,188.95,188.72,187.53,189.559,188.68,188.72,188.7,20780363,7.5714,15.5386,4.22,0.7982,1.3006,0.9651,1.4943,23.6805,27.6907
27/03/2019,188.75,188.47,186.55,189.76,188.47,188.5,188.485,29848427,7.5614,15.518,4.22,0.7982,1.3006,0.9651,1.4963,23.6805,27.6907
26/03/2019,191.664,186.79,184.58,192.88,186.78,186.8,186.79,49800538,7.494,15.3797,4.22,0.7982,1.3006,0.9651,1.5097,23.6805,27.6907
25/03/2019,191.51,188.74,186.6,191.98,188.74,188.77,188.755,43845293,7.5722,15.5402,4.22,0.7982,1.3006,0.9651,1.4941,23.6805,27.6907
22/03/2019,195.34,191.05,190.78,197.69,191.03,191.07,191.05,42407666,7.6649,15.7304,4.22,0.7982,1.3006,0.9651,1.4761,23.6805,27.6907
21/03/2019,190.02,195.09,189.81,196.33,195.05,195.06,195.055,51034237,7.827,16.0631,4.22,0.7982,1.3006,0.9651,1.4455,23.6805,27.6907
20/03/2019,186.23,188.16,184.73,189.49,188.16,188.17,188.165,31035231,7.5489,15.4925,4.22,0.7982,1.3006,0.9651,1.4987,23.6805,27.6907
19/03/2019,188.35,186.53,185.92,188.99,186.54,186.56,186.55,31646369,7.4835,15.3583,4.22,0.7982,1.3006,0.9651,1.5118,23.6805,27.6907
18/03/2019,185.8,188.02,185.79,188.39,188.02,188.03,188.025,26219832,7.5433,15.481,4.22,0.7982,1.3006,0.9651,1.4998,23.6805,27.6907
